DATE,PCU488119488119601
2014-06-01,100.0
2014-07-01,101.1
2014-08-01,101.1
2014-09-01,101.2
2014-10-01,101.1
2014-11-01,101.1
2014-12-01,101.1
2015-01-01,101.2
2015-02-01,102.6
2015-03-01,102.6
2015-04-01,102.6
2015-05-01,102.7
2015-06-01,102.7
2015-07-01,102.9
2015-08-01,103.0
2015-09-01,103.0
2015-10-01,103.3
2015-11-01,103.3
2015-12-01,103.3
2016-01-01,103.7
2016-02-01,103.7
2016-03-01,103.7
2016-04-01,103.7
2016-05-01,103.7
2016-06-01,104.7
2016-07-01,105.6
2016-08-01,105.6
2016-09-01,105.6
2016-10-01,105.9
2016-11-01,105.9
2016-12-01,106.1
2017-01-01,106.6
2017-02-01,107.1
2017-03-01,107.1
2017-04-01,107.0
2017-05-01,107.1
2017-06-01,107.1
2017-07-01,108.0
2017-08-01,108.0
2017-09-01,108.0
2017-10-01,108.0
2017-11-01,108.0
2017-12-01,108.0
2018-01-01,108.0
2018-02-01,108.0
2018-03-01,108.0
2018-04-01,109.4
2018-05-01,109.8
2018-06-01,109.7
2018-07-01,111.4
2018-08-01,111.8
2018-09-01,111.8
2018-10-01,112.6
2018-11-01,112.6
2018-12-01,112.6
2019-01-01,112.7
2019-02-01,112.7
2019-03-01,112.7
2019-04-01,112.7
2019-05-01,112.7
2019-06-01,112.7
2019-07-01,115.0
2019-08-01,115.0
2019-09-01,115.0
2019-10-01,115.9
2019-11-01,116.0
2019-12-01,116.0
2020-01-01,117.1
2020-02-01,116.9
