DATE,IEABC
1999-01-01,-60841
1999-04-01,-68085
1999-07-01,-76889
1999-10-01,-82546
2000-01-01,-94940
2000-04-01,-96866
2000-07-01,-104933
2000-10-01,-106712
2001-01-01,-105283
2001-04-01,-94693
2001-07-01,-103211
2001-10-01,-86499
2002-01-01,-102150
2002-04-01,-113057
2002-07-01,-112893
2002-10-01,-122694
2003-01-01,-133916
2003-04-01,-128659
2003-07-01,-129860
2003-10-01,-126316
2004-01-01,-137062
2004-04-01,-156240
2004-07-01,-159019
2004-10-01,-179272
2005-01-01,-169508
2005-04-01,-179354
2005-07-01,-186410
2005-10-01,-209961
2006-01-01,-198203
2006-04-01,-202347
2006-07-01,-215769
2006-10-01,-189644
2007-01-01,-197842
2007-04-01,-187344
2007-07-01,-168722
2007-10-01,-157128
2008-01-01,-180823
2008-04-01,-175923
2008-07-01,-174642
2008-10-01,-150002
2009-01-01,-95670
2009-04-01,-86336
2009-07-01,-91013
2009-10-01,-99503
2010-01-01,-105640
2010-04-01,-111344
2010-07-01,-115299
2010-10-01,-98983
2011-01-01,-115847
2011-04-01,-117269
2011-07-01,-104792
2011-10-01,-107755
2012-01-01,-115491
2012-04-01,-111579
2012-07-01,-100661
2012-10-01,-99102
2013-01-01,-94304
2013-04-01,-90791
2013-07-01,-88116
2013-10-01,-75590
2014-01-01,-88573
2014-04-01,-85907
2014-07-01,-88594
2014-10-01,-102125
2015-01-01,-102141
2015-04-01,-98045
2015-07-01,-109188
2015-10-01,-98390
2016-01-01,-112435
2016-04-01,-103316
2016-07-01,-106792
2016-10-01,-105806
2017-01-01,-104295
2017-04-01,-122874
2017-07-01,-99708
2017-10-01,-112769
2018-01-01,-114001
2018-04-01,-107311
2018-07-01,-125739
2018-10-01,-143927
2019-01-01,-136194
2019-04-01,-125210
2019-07-01,-124094
