DATE,GOFI
2005-01-01,1687492
2005-04-01,1716511
2005-07-01,1791305
2005-10-01,1790284
2006-01-01,1841266
2006-04-01,1863478
2006-07-01,1894677
2006-10-01,1911316
2007-01-01,1936108
2007-04-01,2001874
2007-07-01,2031764
2007-10-01,2122514
2008-01-01,2007910
2008-04-01,2077905
2008-07-01,2019502
2008-10-01,1865648
2009-01-01,1863394
2009-04-01,1927304
2009-07-01,1854905
2009-10-01,1836361
2010-01-01,1872574
2010-04-01,1879387
2010-07-01,1905000
2010-10-01,1975953
2011-01-01,1986336
2011-04-01,1965068
2011-07-01,1958261
2011-10-01,1965662
2012-01-01,2108411
2012-04-01,2095255
2012-07-01,2161487
2012-10-01,2197051
2013-01-01,2228128
2013-04-01,2256130
2013-07-01,2266011
2013-10-01,2332213
2014-01-01,2386012
2014-04-01,2439756
2014-07-01,2476475
2014-10-01,2513263
2015-01-01,2536236
2015-04-01,2581991
2015-07-01,2570846
2015-10-01,2584605
2016-01-01,2589273
2016-04-01,2644841
2016-07-01,2712997
2016-10-01,2712283
2017-01-01,2768228
2017-04-01,2816054
2017-07-01,2849801
2017-10-01,2927805
2018-01-01,2983931
2018-04-01,3013290
2018-07-01,3038100
2018-10-01,3080958
2019-01-01,3085208
2019-04-01,3144795
2019-07-01,3214970
