DATE,DPHMRG3A086NBEA
1929-01-01,12.271
1930-01-01,12.205
1931-01-01,11.983
1932-01-01,11.529
1933-01-01,10.919
1934-01-01,10.496
1935-01-01,10.221
1936-01-01,10.227
1937-01-01,10.304
1938-01-01,10.379
1939-01-01,10.33
1940-01-01,10.319
1941-01-01,10.442
1942-01-01,10.698
1943-01-01,10.759
1944-01-01,10.842
1945-01-01,10.919
1946-01-01,11.141
1947-01-01,12.044
1948-01-01,12.758
1949-01-01,12.963
1950-01-01,13.123
1951-01-01,13.596
1952-01-01,13.773
1953-01-01,13.88
1954-01-01,14.009
1955-01-01,14.151
1956-01-01,14.47
1957-01-01,14.913
1958-01-01,15.421
1959-01-01,15.652
1960-01-01,15.619
1961-01-01,15.234
1962-01-01,14.791
1963-01-01,14.534
1964-01-01,14.462
1965-01-01,14.41
1966-01-01,14.441
1967-01-01,14.337
1968-01-01,14.32
1969-01-01,14.48
1970-01-01,14.776
1971-01-01,14.965
1972-01-01,14.976
1973-01-01,14.993
1974-01-01,15.458
1975-01-01,16.654
1976-01-01,17.632
1977-01-01,18.743
1978-01-01,20.086
1979-01-01,21.454
1980-01-01,23.35
1981-01-01,25.913
1982-01-01,28.639
1983-01-01,31.164
1984-01-01,33.485
1985-01-01,35.864
1986-01-01,38.125
1987-01-01,40.352
1988-01-01,42.711
1989-01-01,45.597
1990-01-01,49.084
1991-01-01,52.862
1992-01-01,55.881
1993-01-01,57.54
1994-01-01,58.89
1995-01-01,59.329
1996-01-01,60.719
1997-01-01,61.698
1998-01-01,63.242
1999-01-01,65.972
2000-01-01,68.454
2001-01-01,71.692
2002-01-01,74.835
2003-01-01,76.964
2004-01-01,79.157
2005-01-01,81.491
2006-01-01,84.717
2007-01-01,85.937
2008-01-01,87.892
2009-01-01,90.693
2010-01-01,93.902
2011-01-01,97.006
2012-01-01,100.0
2013-01-01,100.484
2014-01-01,103.346
2015-01-01,107.168
2016-01-01,111.315
2017-01-01,114.67
2018-01-01,116.157
2019-01-01,116.019
