DATE,IY3254
2005-12-01,100.0
2006-01-01,101.0
2006-02-01,101.3
2006-03-01,100.9
2006-04-01,101.0
2006-05-01,101.3
2006-06-01,101.8
2006-07-01,102.1
2006-08-01,102.1
2006-09-01,102.5
2006-10-01,102.5
2006-11-01,102.9
2006-12-01,103.6
2007-01-01,106.9
2007-02-01,106.8
2007-03-01,106.6
2007-04-01,106.7
2007-05-01,107.3
2007-06-01,107.7
2007-07-01,108.0
2007-08-01,108.3
2007-09-01,108.3
2007-10-01,108.7
2007-11-01,109.2
2007-12-01,109.7
2008-01-01,109.7
2008-02-01,109.5
2008-03-01,111.0
2008-04-01,111.8
2008-05-01,111.9
2008-06-01,111.9
2008-07-01,112.0
2008-08-01,111.4
2008-09-01,110.9
2008-10-01,111.7
2008-11-01,109.1
2008-12-01,108.8
2009-01-01,111.7
2009-02-01,114.2
2009-03-01,111.7
2009-04-01,111.4
2009-05-01,112.0
2009-06-01,112.8
2009-07-01,113.2
2009-08-01,113.4
2009-09-01,113.7
2009-10-01,114.3
2009-11-01,114.8
2009-12-01,115.2
2010-01-01,117.4
2010-02-01,118.4
2010-03-01,118.9
2010-04-01,120.2
2010-05-01,119.9
2010-06-01,118.9
2010-07-01,120.7
2010-08-01,121.8
2010-09-01,122.7
2010-10-01,123.6
2010-11-01,124.8
2010-12-01,124.5
2011-01-01,123.0
2011-02-01,123.0
2011-03-01,123.1
2011-04-01,123.3
2011-05-01,123.9
2011-06-01,124.0
2011-07-01,124.9
2011-08-01,124.7
2011-09-01,124.6
2011-10-01,123.4
2011-11-01,123.2
2011-12-01,123.6
2012-01-01,123.8
2012-02-01,123.9
2012-03-01,124.1
2012-04-01,123.9
2012-05-01,123.9
2012-06-01,123.5
2012-07-01,123.0
2012-08-01,123.1
2012-09-01,123.5
2012-10-01,124.0
2012-11-01,123.9
2012-12-01,123.8
2013-01-01,124.3
2013-02-01,123.6
2013-03-01,122.8
2013-04-01,121.7
2013-05-01,121.9
2013-06-01,121.4
2013-07-01,121.1
2013-08-01,120.2
2013-09-01,120.5
2013-10-01,120.6
2013-11-01,121.1
2013-12-01,120.7
2014-01-01,118.6
2014-02-01,116.5
2014-03-01,116.4
2014-04-01,116.4
2014-05-01,116.4
2014-06-01,115.7
2014-07-01,118.1
2014-08-01,118.1
2014-09-01,117.5
2014-10-01,116.5
2014-11-01,115.9
2014-12-01,116.6
2015-01-01,113.9
2015-02-01,112.5
2015-03-01,112.3
2015-04-01,111.7
2015-05-01,111.9
2015-06-01,112.3
2015-07-01,112.2
2015-08-01,111.6
2015-09-01,111.3
2015-10-01,111.2
2015-11-01,111.3
2015-12-01,110.4
2016-01-01,108.5
2016-02-01,107.6
2016-03-01,107.8
2016-04-01,108.4
2016-05-01,109.1
2016-06-01,109.1
2016-07-01,110.8
2016-08-01,110.1
2016-09-01,110.4
2016-10-01,110.3
2016-11-01,109.8
2016-12-01,108.7
2017-01-01,105.3
2017-02-01,105.3
2017-03-01,105.3
2017-04-01,106.2
2017-05-01,106.4
2017-06-01,106.6
2017-07-01,107.5
2017-08-01,107.8
2017-09-01,107.9
2017-10-01,108.0
2017-11-01,107.6
2017-12-01,108.1
2018-01-01,109.0
2018-02-01,109.7
2018-03-01,110.0
2018-04-01,110.4
2018-05-01,110.3
2018-06-01,109.5
2018-07-01,109.5
2018-08-01,109.4
2018-09-01,109.2
2018-10-01,109.3
2018-11-01,109.1
2018-12-01,108.7
2019-01-01,109.3
2019-02-01,110.0
2019-03-01,110.0
2019-04-01,111.0
2019-05-01,111.0
2019-06-01,111.2
2019-07-01,112.3
2019-08-01,112.3
2019-09-01,112.0
2019-10-01,111.9
2019-11-01,112.1
2019-12-01,112.1
2020-01-01,112.3
2020-02-01,112.6
